id,length,name,sample_rate,record_datetime,sound_type,species,gender,fed,plurality,age,method,mic_type,device_type,country,district,province,place,location_type
60,0.127687,CDC_Ae-aegypti_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
67,0.510748,CDC_Ae-aegypti_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
82,0.231728,CDC_Ae-aegypti_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
83,0.141875,CDC_Ae-aegypti_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
68,0.321582,CDC_Ae-aegypti_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
84,0.179708,CDC_Ae-aegypti_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
85,0.260103,CDC_Ae-aegypti_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
110,0.815149,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
111,0.496731,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
112,0.598625,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
113,0.73236,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
114,0.630467,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
115,1.057147,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
87,2.031505,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
117,0.92978,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
118,0.254735,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
89,0.480811,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
119,0.585889,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
120,0.343891,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
90,0.127367,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
121,0.675046,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
123,0.547678,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
93,0.522205,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
126,0.534941,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
128,0.483994,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
94,0.614546,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
135,0.471259,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
136,0.477626,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
95,0.531757,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
137,0.458522,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
141,0.445784,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
100,0.331155,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
142,0.433049,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
153,0.356628,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
116,0.54131,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
107,0.312049,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
125,0.27384,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
122,0.46489,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
132,0.38847,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
134,0.312049,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
131,0.267471,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
146,0.757834,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
148,0.452153,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
140,0.77057,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
150,0.203788,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
151,0.522205,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
157,0.235629,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
154,0.401207,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
156,0.241998,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
164,0.636835,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Male,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
159,0.528574,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
108,0.280208,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
163,0.770571,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
124,0.445785,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
127,0.331154,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
165,0.439416,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
129,0.643203,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
130,0.337523,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
88,0.165577,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
133,0.241997,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
138,0.757834,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
91,1.592089,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
139,0.802413,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
143,0.509468,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
92,0.226077,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
144,1.12083,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
145,0.891569,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
96,0.331155,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
147,0.821518,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
149,0.38847,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
97,0.324786,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
152,0.356628,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
155,0.407575,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
98,0.273839,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
158,0.668677,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
160,0.362996,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
99,0.547679,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
161,0.579521,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
162,0.54131,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,Female,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
101,0.343891,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
102,0.375733,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
103,0.560416,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
104,0.401207,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
105,0.643204,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
106,0.592257,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
109,0.522205,CDC_Ae-albopictus_labelled_800.wav,8000,08-09-16 08:00,mosquito,ae albopictus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
180,0.212739,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
181,0.137099,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
182,0.179646,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
183,0.127644,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
184,0.321473,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
185,0.156009,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
186,0.151282,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
187,0.141827,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
188,0.203285,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
189,0.113461,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
190,0.127644,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
191,0.151281,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
192,0.151281,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
193,0.297835,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
194,0.165464,CDC_An-albimanus_labelled_800.wav,8000,08-09-16 08:00,mosquito,an albimanus,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
